permno,date,prc,ret,vol,ticker
10107,2015-01-15,45.48,-0.010336,32750825.0,MSFT
12742,2015-01-16,214.17999,0.004549,1109002.0,LNKD
10107,2015-01-16,46.24,0.016711,35695289.0,MSFT
12742,2015-01-16,214.17999,0.004549,1109002.0,LNKD
12742,2015-01-20,213.06,-0.005229,1020403.0,LNKD
10107,2015-01-20,46.39,0.003244,36162760.0,MSFT
12742,2015-01-20,213.06,-0.005229,1020403.0,LNKD
10107,2015-01-21,45.92,-0.010132,39086095.0,MSFT
12742,2015-01-21,219.2,0.028818,1193960.0,LNKD
12742,2015-01-21,219.2,0.028818,1193960.0,LNKD
12742,2015-01-22,224.94,0.026186,1419139.0,LNKD
10107,2015-01-22,47.13,0.02635,35898035.0,MSFT
12742,2015-01-22,224.94,0.026186,1419139.0,LNKD
12742,2015-01-23,232.22,0.032364,1915975.0,LNKD
10107,2015-01-23,47.18,0.001061,26211594.0,MSFT
12742,2015-01-23,232.22,0.032364,1915975.0,LNKD
12742,2015-01-26,226.36,-0.025235,1859946.0,LNKD
10107,2015-01-26,47.01,-0.003603,42533313.0,MSFT
12742,2015-01-26,226.36,-0.025235,1859946.0,LNKD
12742,2015-01-27,222.62,-0.016522,898014.0,LNKD
10107,2015-01-27,42.66,-0.092534,169170004.0,MSFT
12742,2015-01-27,222.62,-0.016522,898014.0,LNKD
12742,2015-01-28,220.46001,-0.009703,939484.0,LNKD
10107,2015-01-28,41.19,-0.034459,84507078.0,MSFT
12742,2015-01-28,220.46001,-0.009703,939484.0,LNKD
12742,2015-01-29,223.03999,0.011703,799425.0,LNKD
10107,2015-01-29,42.01,0.019908,63585273.0,MSFT
12742,2015-01-29,223.03999,0.011703,799425.0,LNKD
10107,2015-01-30,40.4,-0.038324,78004944.0,MSFT
12742,2015-01-30,224.74001,0.007622,1313810.0,LNKD
12742,2015-01-30,224.74001,0.007622,1313810.0,LNKD
12742,2015-02-02,224.57001,-0.000756,1111183.0,LNKD
10107,2015-02-02,41.28,0.021782,50354232.0,MSFT
12742,2015-02-02,224.57001,-0.000756,1111183.0,LNKD
10107,2015-02-03,41.6,0.007752,52115448.0,MSFT
12742,2015-02-03,232.75999,0.03647,2394409.0,LNKD
12742,2015-02-03,232.75999,0.03647,2394409.0,LNKD
10107,2015-02-04,41.84,0.005769,39814812.0,MSFT
12742,2015-02-04,232.03,-0.003136,1714937.0,LNKD
12742,2015-02-04,232.03,-0.003136,1714937.0,LNKD
12742,2015-02-05,237.97,0.0256,3951653.0,LNKD
12742,2015-02-05,237.97,0.0256,3951653.0,LNKD
10107,2015-02-05,42.45,0.014579,36548168.0,MSFT
12742,2015-02-06,263.39999,0.106862,6920181.0,LNKD
12742,2015-02-06,263.39999,0.106862,6920181.0,LNKD
10107,2015-02-06,42.41,-0.000942,34616550.0,MSFT
10107,2015-02-09,42.36,-0.001179,31401061.0,MSFT
12742,2015-02-09,267.42999,0.0153,3039390.0,LNKD
12742,2015-02-09,267.42999,0.0153,3039390.0,LNKD
12742,2015-02-10,269.75,0.008675,2645784.0,LNKD
10107,2015-02-10,42.6,0.005666,29670687.0,MSFT
12742,2015-02-10,269.75,0.008675,2645784.0,LNKD
12742,2015-02-11,267.92001,-0.006784,2159902.0,LNKD
10107,2015-02-11,42.38,-0.005164,38263386.0,MSFT
12742,2015-02-11,267.92001,-0.006784,2159902.0,LNKD
12742,2015-02-12,267.17001,-0.002799,1871627.0,LNKD
12742,2015-02-12,267.17001,-0.002799,1871627.0,LNKD
10107,2015-02-12,43.09,0.016753,33268831.0,MSFT
12742,2015-02-13,269.0,0.00685,1992840.0,LNKD
12742,2015-02-13,269.0,0.00685,1992840.0,LNKD
10107,2015-02-13,43.87,0.018102,41915104.0,MSFT
10107,2015-02-17,43.58,0.000456,33695749.0,MSFT
12742,2015-02-17,265.75,-0.012082,1416628.0,LNKD
12742,2015-02-17,265.75,-0.012082,1416628.0,LNKD
12742,2015-02-18,266.91,0.004365,1850978.0,LNKD
10107,2015-02-18,43.53,-0.001147,27111657.0,MSFT
12742,2015-02-18,266.91,0.004365,1850978.0,LNKD
10107,2015-02-19,43.5,-0.000689,27650420.0,MSFT
12742,2015-02-19,266.34,-0.002136,974052.0,LNKD
12742,2015-02-19,266.34,-0.002136,974052.0,LNKD
12742,2015-02-20,267.63,0.004843,953299.0,LNKD
12742,2015-02-20,267.63,0.004843,953299.0,LNKD
10107,2015-02-20,43.855,0.008161,29721733.0,MSFT
10107,2015-02-23,44.15,0.006727,32518754.0,MSFT
12742,2015-02-23,264.20999,-0.012779,1165313.0,LNKD
12742,2015-02-23,264.20999,-0.012779,1165313.0,LNKD
12742,2015-02-24,264.26001,0.000189,850186.0,LNKD
12742,2015-02-24,264.26001,0.000189,850186.0,LNKD
10107,2015-02-24,44.09,-0.001359,25271747.0,MSFT
12742,2015-02-25,269.0,0.017937,1266377.0,LNKD
10107,2015-02-25,43.99,-0.002268,29759820.0,MSFT
12742,2015-02-25,269.0,0.017937,1266377.0,LNKD
10107,2015-02-26,44.055,0.001478,28957329.0,MSFT
12742,2015-02-26,270.76001,0.006543,2256384.0,LNKD
12742,2015-02-26,270.76001,0.006543,2256384.0,LNKD
10107,2015-02-27,43.85,-0.004653,33807740.0,MSFT
12742,2015-02-27,267.20001,-0.013148,985208.0,LNKD
12742,2015-02-27,267.20001,-0.013148,985208.0,LNKD
12742,2015-03-02,269.42001,0.008308,894309.0,LNKD
10107,2015-03-02,43.88,0.000684,31924049.0,MSFT
12742,2015-03-02,269.42001,0.008308,894309.0,LNKD
10107,2015-03-03,43.28,-0.013674,31748648.0,MSFT
12742,2015-03-03,265.54001,-0.014401,1196439.0,LNKD
12742,2015-03-03,265.54001,-0.014401,1196439.0,LNKD
12742,2015-03-04,265.23001,-0.001167,1240877.0,LNKD
12742,2015-03-04,265.23001,-0.001167,1240877.0,LNKD
10107,2015-03-04,43.055,-0.005199,25748692.0,MSFT
12742,2015-03-05,268.34,0.011726,1115621.0,LNKD
12742,2015-03-05,268.34,0.011726,1115621.0,LNKD
